Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Instrument,RRN
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141946188664683850,AC222608141946271252584609,T2608141946271315591210,836810458549,1.0,2026-08-14 19:46:36,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141945142670307832,AC222608141945166240033535,T2608141945166396122459,102481835004,1.0,2026-08-14 19:45:19,ERRORED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141941545260903009,AC222608141941564779184332,T2608141941564856610718,779508776616,1.0,2026-08-14 19:41:59,ERRORED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141616008254778929,AC222608141616118809381470,T2608141616118845702709,781850520550,1.0,2026-08-14 16:16:15,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608041634405320339029,AC222608041634530511447733,T2608041634530573399031,395398509574,1.0,2026-08-04 16:34:58,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,205517426713,T2607262055174860034242,205517394173,200.0,2026-07-26 20:55:17,COMPLETED,200.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTMa24f67c4ea944089b8899aebc0fb3f2d,T2607262055170688174980,311183513163,200.0,2026-07-26 20:55:17,COMPLETED,200.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2605122206406538842661,AC222605122206536869990385,T2605122206536918005227,484134165247,1.0,2026-05-12 22:06:57,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,NEF6238ed3c39e04eb0a3f4246cd7168fd2,T2604280239381599076641,611754897095,30.0,2026-04-28 02:39:38,COMPLETED,30.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604280134204230366001,AC222604280135110490166721,T2604280135110556642078,454859892641,10.0,2026-04-28 01:35:14,COMPLETED,10.0,,,,,,MS2604151300332429781886,MST2604151754028988993091,More Than Me,Terminal 4,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,NEFdd8d7ea91f974e7c8aacc0221debb1f3,T2604272202575458491283,611780134096,1.0,2026-04-27 22:02:57,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151754028988993091,More Than Me,Terminal 4,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604261259000789363432,AC222604261259110132213197,T2604261259110207593458,479205416059,1000.0,2026-04-26 12:59:14,COMPLETED,1000.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604250836112491738334,AC222604250836245676412942,T2604250836245725514416,214713233029,50.0,2026-04-25 08:36:26,COMPLETED,50.0,,,,,,MS2604151300332429781886,MST2604151754028988993091,More Than Me,Terminal 4,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604160304267272745245,AC222604160304319289902767,T2604160304319352395868,536768572631,1.0,2026-04-16 03:04:34,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604160011243067636641,AC222604160011272008591032,T2604160011272053762102,323811208421,1.0,2026-04-16 00:11:30,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604151754258473219254,AC222604151754342642556464,T2604151754342684637252,979205811022,1.0,2026-04-15 17:54:36,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151754028988993091,More Than Me,Terminal 4,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604151754229998147738,AC222604151754263331477356,T2604151754263373761937,205131395276,1.0,2026-04-15 17:54:29,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151754028988993091,More Than Me,Terminal 4,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2604151749355196457936,AC222604151749382989902430,T2604151749383031291555,840671765013,1.0,2026-04-15 17:49:41,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738099180977094,More Than Me,Terminal 1,UPI,
